IngresoMensual,HorasSemanales,NumTrabajadores,AñosEstudio
3100,46,9000,15
5100,108,30,15
3000,40,9998,17
2300,40,9998,13
 , , ,14
1000,53,20,16
 , , ,13
 , , ,14
1480,70,1,14
 , , ,14
 , , ,14
 , , ,
 , , ,13
2200,49,100,20
2000,48,600,14
50,5,1,17
 , , ,14
 , , ,11
 , , ,13
2200,40,4500,16
 , , ,10
 , , ,13
 , , ,21
 , , ,15
3200,40,20,21
3950,40,1000,22
1600,45,10,24
 , , ,17
 , , ,13
4000,40,700,26
 , , ,18
1580,84,2,13
 ,80,2,16
 , , ,17
800,35,1,13
 , , ,13
 , , ,
 , , ,
 , , ,10
730,54,1,13
1390,48,2,13
800,36,1,14
 , , ,13
 , , ,
 , , ,
1200,25,20,13
 , , ,21
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,14
 , , ,
 , , ,10
 , , ,18
 , , ,8
 , , ,16
 , , ,
 , , ,
2000,48,10,21
900,24,1,11
 , , ,10
900,48,1,16
144,4,2,8
1300,48,250,15
1025,48,510,13
 , , ,11
1747,81,3,8
1200,83,1,9
 , , ,10
 , , ,10
 , , ,8
1101,99,1,13
 , , ,11
 , , ,11
5673,60,1,11
 , , ,14
3100,36,1500,13
767,51,2,14
 ,30,2,10
1040,40,1999,14
3,15,2,15
 , , ,11
 , , ,16
2165,48,3,14
 , , ,5
1350,49,2,10
 , , ,11
 , , ,5
217,8,2,10
1500,46,1,6
 , , ,
1050,24,1,9
2720,72,1,6
 , , ,16
 , , ,11
 , , ,16
1025,70,300,5
 , , ,11
 , , ,10
1300,48,1000,16
350,24,1,8
1700,66,1800,14
 , , ,21
 , , ,13
360,18,1000,15
 , , ,0
1400,48,5,13
1430,40,25,23
2559,40,500,16
5120,48,700,16
1600,48,50,19
 , , ,22
4900,43,1100,20
400,44,1,16
18000,53,21,20
 , , ,14
 , , ,10
 , , ,16
 , , ,13
1400,40,25,21
 , , ,17
 , , ,13
 , , ,13
4930,32,1,22
150,28,1,15
 , , ,10
2500,36, ,20
205,18,1,14
 , , ,20
 , , ,6
 , , ,9
 , , ,20
2390,33,1000,16
2390,33,1000,16
 , , ,17
 , , ,11
 , , ,14
 ,63,2,16
900,18,6,23
3230,37,2,19
 , , ,16
 , , ,15
1500,50,30,22
1200,44,5000,9
 , , ,5
1025,48,9998,17
741,36,1,14
1500,40,50,17
 , , ,11
 , , ,9
25,28,1,9
1473,20,4,11
 , , ,
1550,62,500,11
1025,48,4,13
 , , ,13
3200,48,500,17
1200,40,2,14
1480,46,200,14
 , , ,8
 , , ,13
 , , ,17
 , , ,5
 , , ,18
 , , ,14
1167,24,2,9
 , , ,22
887,24,7,10
780,24,2,14
 , , ,
 , , ,9
1299,60,20,10
2273,54,30,16
 , , ,14
1000,25,1,13
 , , ,20
2668,48,1800,16
 , , ,17
 , , ,14
1299,48,3,14
 , , ,14
 , , ,
 , , ,14
 , , ,
1484,86,1,16
 , , ,22
683,70,2,13
5000,76,25,23
 , , ,13
 , , ,9
1300,40,5,17
1025,48,550,17
 , , ,
 , , ,
2000,45,20,21
 , , ,13
1025,40,50,17
 , , ,9
650,20,1,14
1420,37,9,13
 , , ,13
1000,40,2000,18
 , , ,21
 , , ,11
 , , ,13
 , , ,
 , , ,
 , , ,
 , , ,
1700,70,1,16
1050,40,2,10
 , , ,14
1000,48,1,11
 , , ,16
1025,48,25,13
1700,47,1,17
1800,30,9998,16
1420,44,1,10
1000,40,9,24
450,20,7,22
 , , ,20
1299,54,20,16
 , , ,14
 , , ,15
1200,45,6,16
 , , ,9
 , , ,8
1650,65,1,16
1650,47,1,16
866,40,4,21
 , , ,14
773,39,1,6
 , , ,8
8000,46,300,16
2200,25,9998,16
 , , ,17
910,44,10,19
 , , ,
346,2,4,21
 , , ,
 , , ,9
1000,45,1,17
997,72,2,14
850,25,1,19
 , , ,8
8334,60,2,14
 , , ,20
400,12,10,19
830,30,2,13
 , , ,10
 , , ,14
173,15,1,11
693,32,4,8
1860,50,1,13
1025,40,6,13
1200,25,1,10
1300,30,28,22
 , , ,10
779,24,3,10
 , , ,10
2500,40,9998,20
 , , ,13
 , , ,
1700,30,24,22
900,36,1,9
1039,60,3,16
1000,41,1,6
1901,70,2,1
 , , ,11
 , , ,0
 , , ,
 , , ,20
 , , ,
 , , ,
 , , ,20
 , , ,
1220,84,1,14
3000,40,9998,23
 , , ,19
12540,60,2,22
 ,51,2,22
300,6,1,17
750,14,3,13
 , , ,14
100,7,1,11
 , , ,13
800,10,1,17
2000,40,5000,21
 , , ,21
287,12,2,9
 , ,2,11
4500,54,9998,20
2140,44,51,16
 , , ,10
1200,14,2,24
 , ,2,14
500,20,9998,24
4000,52, ,17
2400,38,100,20
 , , ,
 , , ,11
 , , ,
 , , ,
1025,54,2,14
3020,12,2,15
 , , ,1
693,16,500,13
 , , ,14
1000,18,19,24
 , , ,11
 , , ,9
 , , ,21
 , , ,19
1800,40,1000,20
1550,53,3,15
 , , ,
 , , ,
 , , ,
 , , ,
 , , ,13
 , , ,15
 , , ,21
 , , ,0
5000,48,1,23
1390,48,1000,16
3460,56,4,13
1200,51,150,17
1200,72,1,6
2665,71,4,11
 ,38,2,13
 , , ,0
779,48,3,13
974,48,5,10
1025,45,1000,14
 , , ,13
6400,56,1000,22
 , , ,24
1300,48,1000,17
1025,48,300,13
1025,48,1000,13
1250,16,1,10
 , , ,
 , , ,
520,6,1,9
100,3,1,10
 , ,2,13
 , , ,
 , , ,14
 , , ,16
2700,58,1,17
1500,30,1,24
1400,34,1,14
642,11,1,14
1580,47,1,16
 , , ,14
1500,36,1000,14
 , , ,
 , , ,
 , , ,
 , , ,18
3500,48,1000,19
2400,56,2,22
 ,24,2,22
2165,45,4,15
 ,56,2,17
 , , ,
1500,72,3,16
 , , ,
 , , ,11
1299,45,4,8
2300,86,2,9
 , , ,8
1299,48,3,9
3236,18,1,14
 , , ,
 , , ,
2000,77,5500,22
600,36,1,22
 , , ,13
2500,40,50,20
 , , ,13
 , , ,10
 , , ,
 , , ,17
 , , ,
1516,85,75,21
5300,48,3,16
 , , ,8
 , , ,9
1592,56,1,21
1700,25,2,20
 , , ,20
7500,48,9998,21
5000,40,500,20
 , , ,9
 , , ,
 , , ,
1050,36,5,20
 , , ,16
1624,40,120,14
 , , ,14
 , , ,14
2040,60,7,14
1650,56,2,14
2000,40,60,17
700,34,3,13
 , , ,22
2500,40,20,17
 , , ,23
 , , ,22
1600,48,20,15
1400,88,1,17
 , , ,13
86,5,1,13
 , , ,11
673,12,1,16
 , , ,16
1539,48,3,10
 , , ,14
 , , ,11
 , , ,16
1949,45,16,14
 , , ,13
70,3,1,16
1500,48,120,13
 , , ,16
 , , ,8
 , , ,9
620,15,1,16
910,37,3000,15
4900,70,1,11
1650,67,2,15
 , , ,6
 , , ,14
 , , ,11
4560,72, ,17
2800,48,800,17
1600,66,5,14
400,8,1,13
 , , ,11
 , , ,5
2300,40, ,16
2730,30,5000,21
 , , ,11
60,5,1,22
1170,66,1,14
 , , ,13
1212,45,1,11
779,48,1,6
1025,66,2,14
 , , ,11
50,4,1,11
3751,70,2,14
460,44,1,13
909,24,5,22
3700,40,9998,13
 , , ,21
1650,53,2,16
 , , ,14
1200,45,200,23
 , , ,24
 , , ,24
10000,40,100,24
6000,48,9998,22
 , , ,5
1400,7,1,17
 , , ,16
1260,48,1,16
 , , ,16
 , , ,11
1300,66,75,16
 , , ,17
 , , ,
 , , ,18
 , , ,
 , , ,
1400,40,5000,13
200,35,1,14
 , , ,16
1500,63,1,13
 , , ,14
1900,48,1,14
 , , ,21
3200,45,1000,23
 , , ,11
1000,60,2,13
 , , ,16
 , , ,10
 , , ,11
1250,91,1,14
234,18,3,13
 , , ,18
 , , ,10
2800,40,1000,21
1995,13,4,23
 , , ,20
 , , ,23
520,20,500,23
4000,40,40,22
 , , ,13
 , , ,18
846,25,1,6
 , , ,14
 , , ,14
3000,48,1,21
3000,48,1,19
 , , ,17
3500,45,9,13
1200,51,2,18
76,25,1,14
809,48,4,11
2590,73,2,20
12920,48,9995,23
 , , ,21
 , , ,22
 , , ,11
240,28,1,24
 , , ,16
 , , ,1
1740,56,1,13
2250,52,4,14
 , , ,5
3500,23,1,16
 , , ,13
 , , ,20
1025,48,30,22
 , , ,8
 , , ,21
1500,40,9998,16
4000,40,19,20
4500,44,9998,24
3360,39,2,23
10000,66,7,25
2760,36,5000,23
1500,53,1,13
14000,54,500,23
8000,37,88,25
 , , ,8
 , , ,5
 , , ,23
2700,40,9998,19
1500,62,1,15
2470,61,2,13
 , , ,19
 , , ,11
 , , ,24
 , , ,11
1600,30,25,19
8500,48,700,19
 , , ,14
 , , ,
 , , ,
 , , ,13
1790,48,1000,13
850,36,2,16
 , , ,13
 , , ,13
2000,72,10,15
 , , ,13
2700,60,3,20
 ,30,3,20
 , , ,10
5000,53,3,19
3000,48,2,22
3000,36,5,20
 ,36,5,14
2350,48,998,21
950,42,1,8
1025,48,8,20
 , , ,20
 , , ,5
 , , ,15
2550,75,25,16
 , , ,
2700,40,998,24
496,12,5,13
1516,54,8,9
1212,48,10,14
1500,51,5,14
260,21,1,11
1827,60,105,13
1900,44,1000,18
 , , ,13
4000,44,1000,22
 , , ,11
2200,48,100,14
5050,54,500,25
 , , ,
 , , ,
2465,45,8,9
 , , ,13
 , , ,16
 , , ,10
1800,72,4,17
 ,16,4,13
 , ,4,10
 , ,4,11
 , , ,13
1526,48,3,13
 , , ,11
200,14,1,14
620,8,4,15
4980,40,9000,23
 , , ,20
900,12,1,13
533,26,30,13
 , , ,10
3100,59,4,18
2900,84,12,11
 , , ,
 , , ,13
 , , ,
 , , ,
540,30,1,13
2698,51,6,14
 , , ,13
 , , ,
 , , ,
1422,90,1,9
3854,45,50,14
2700,36,9000,16
1855,82,2,17
 , , ,
1590,59,9000,17
 , , ,
3260,48, ,16
1350,55,10,16
2800,48, ,17
390,12,12,21
 , , ,13
 , , ,16
1025,43,500,13
270,18,2,15
800,26,1,14
1025,30,20,20
1100,48,100,15
1100,48,300,15
 , , ,14
 , , ,
 , , ,13
3500,35,1000,20
 , , ,
 , , ,11
1299,45,1,11
 , , ,14
2165,48,3,11
1000,30,1,10
268,21,1,5
800,48,4,17
1400,43,1,20
 , , ,11
2200,50,9998,13
1500,59,1,13
 , , ,14
563,30,1,13
 , , ,11
1419,45,3,14
 , , ,14
 , ,3,14
 , ,3,10
 , , ,9
200,5,1,13
 , , ,13
 , , ,22
 , , ,
153,12,1,10
 , , ,
 , , ,10
3820,96,2,16
 , , ,9
2400,68,2,11
1800,52,1,15
4600,54,3,13
4000,60,500,21
 , , ,13
 , , ,13
1025,48,5000,15
3080,37,9998,23
1200,55,3000,14
1299,48,3,21
 , , ,14
1587,77,1,17
1083,65,2,15
 , , ,16
 , , ,10
646,50,2,10
 , , ,
1300,37,3,8
3000,75,5000,22
1025,45,12,17
1050,24,1,14
 , , ,16
 , , ,8
 , , ,9
1083,20,2,14
 , , ,11
 , , ,18
2650,70,1,14
1360,48,9998,16
1591,60,1,8
1591,70,1,8
1850,77,1,14
398,16,3,14
 , , ,11
2250,40,9998,17
3161,48,9998,13
 , , ,13
1560,46,70,14
 , , ,0
3031,65,12,17
 , , ,17
 , , ,14
346,24,10,13
 , , ,9
2598,72,10,22
 , , ,1
2078,46,3,10
 , , ,14
1439,59,1,13
 , , ,10
 , , ,
800,10,1,22
 , , ,
2485,86,1,5
2342,50,2,8
 , , ,20
 , , ,8
1350,36,1,9
 , , ,8
 , , ,9
 , , ,5
3000,48,9998,19
3360,24, ,18
2500,55,1000,21
 ,27,2,10
1524,46,2,16
1287,70,2,13
1355,70,1,14
 ,28,2,10
1350,60,700,16
 , , ,13
1593,66,4,9
2999,57,2,6
3360,56,1,13
 , , ,13
4000,72,9998,16
5321,48, ,16
 , , ,13
 , , ,
 , , ,
1700,91,1,14
 , , ,
 , , ,
2400,84,1,13
 , , ,
1025,48,200,8
 , , ,13
 , , ,14
 , , ,10
 , , ,1
 , , ,
 , , ,
796,80,1,11
 , , ,10
1083,48,1,14
1988,48,4,8
1650,50,1,16
 ,48,3,13
866,12,4,14
 , , ,10
 , , ,11
1500,40,9998,17
1680,66,5,16
825,30,1,10
 , , ,11
 , , ,13
1475,48,1,13
 , , ,16
693,48,25,14
1246,54,1,19
 ,60,2,14
2000,90,7,16
1200,48,3,13
 , , ,10
1400,28,1,14
1250,36,1000,17
2130,72,22,13
 , , ,9
1215,70,2,13
1500,54,2,20
2538,48,1,10
1782,48,1,13
87,8,3,1
1025,60,4,15
 , , ,
 , , ,
1610,45,30,16
 , , ,17
3113,60,2,6
 ,39,2,11
1000,78,1,14
2775,70,1,14
 , , ,13
1210,78,1,13
1000,35,1,14
 , , ,21
 , , ,14
650,24,1,13
2670,45,200,17
1025,48,9998,16
 , , ,9
 , , ,9
300,48,1,13
 , , ,
 , , ,
 , , ,
 , , ,
 ,48,2,14
130,4,4,11
2157,84,1,15
1339,22,6,15
1163,78,7,10
1083,40,2,10
 , , ,9
1830,41,5,13
1516,45,4,13
1645,45,5,14
4269,77,40,17
 , , ,16
1512,66,7,16
 , , ,14
 , , ,11
 , , ,11
 , , ,10
1118,48,70,16
1970,45,9998,18
4000,40,9998,21
1025,48,40,14
 , , ,8
150,15,1,17
3798,46,8,10
1025,48,20,14
1212,46,4,10
 , , ,10
1900,60,44,14
1833,40,1,6
 , , ,17
 , , ,13
600,54,1,13
 , , ,10
1516,57,7,10
 ,30,2,11
1060,45,2,10
1738,84,1,6
 , , ,10
2850,53,35,16
630,49,2,13
1723,45,18,13
440,24,24,11
 , , ,13
 , , ,19
2450,45,1,16
1000,55,30,14
 , , ,10
1000,68,10,19
624,22,2,14
 , , ,20
 ,15,2,10
 , , ,22
 , , ,11
1516,54,4,14
 , , ,16
1512,84,5,14
390,22,3,14
4000,36,6000,17
660,30,3,14
 , , ,10
 ,15,3,11
 , ,3,10
 , , ,16
3750,45, ,16
3243,54,6,11
 , ,6,6
1899,60,6,13
1451,79,2,16
 ,30,2,16
 , , ,21
1237,43,1,11
8000,40,998,25
3500,40,998,22
816,30,2,5
282,50,1,9
 , , ,3
1200,48,50,16
1992,42,5,14
 , , ,
 , , ,
 , , ,
 , , ,
766,54,1,8
 , , ,9
 , , ,14
1403,54,5,11
433,6,10,23
1200,40,100,17
1650,54,2,14
 ,51,2,15
1200,60,2,14
 , , ,
1700,60,5,13
 , , ,16
 , , ,11
 , , ,13
 , , ,14
450,30,1,13
3400,50,3,10
 , , ,18
2200,54,5000,13
 , , ,11
1800,40,35,16
 , , ,16
3060,40,1000,21
1600,48,1000,21
5033,50,50,23
190,14,1,14
2000,36,10,19
900,14,10,18
 , , ,20
 , , ,6
 , , ,1
 , ,4,10
1541,56,1,13
1768,42,4,17
1600,61,9000,20
 , , ,14
 , , ,0
2495,48,3,8
2669,45,600,22
1025,91,600,18
2800,30,998,20
 , , ,13
3500,45,600,24
 , , ,15
2500,40,9998,24
4500,45,1000,23
3504,36,3,20
4040,62,3,21
2800,45,40,17
 ,48,3,14
1350,36,1,13
 , , ,13
1150,48,55,16
 , , ,20
1383,60,3,17
433,30,3,8
 , , ,8
866,60,14,14
180,30,1,13
 , , ,5
1200,48,30,6
 , , ,13
606,52,3,5
1516,55,5,14
 , , ,
 , , ,
 , , ,14
1300,48,45,14
280,40,1,8
 , , ,10
 , , ,13
2450,28,3,13
 , , ,13
 , , ,18
 , , ,0
379,9,1,8
 , , ,11
1516,50,6,9
 , , ,
4400,98,3,14
 , , ,
 , , ,20
2779,45,21,16
 , , ,11
 , ,4,24
2184,36,5,17
1525,40,1000,22
 ,59,4,13
3200,60,600,16
150,63,1,13
 ,47,5,13
3260,51,80,17
3000,36,3,18
 , , ,16
 , , ,16
195,14,3,20
1200,48,200,16
